Age,Attrition,Travel_Frequently,Travel_Rarely,Non_Travel,DailyRate,Research & Development,Sales,Human Resources,DistanceFromHome,Education,Life Sciences,Medical,Marketing,Technical Degree,EducationOther,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,Sales Executive,Research Scientist,Laboratory Technician,Manufacturing Director,Healthcare Representative,JobSatisfaction,Married,Single,Divorced,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
26,0,0,1,0,1349,1,0,0,23,3,1,0,0,0,0,1,1,90,3,1,0,1,0,0,0,4,0,0,1,2886,3032,1,0,22,4,2,3,3,1,3,2,0,2
55,0,0,1,0,836,1,0,0,8,3,0,1,0,0,0,4,1,33,3,4,0,0,0,0,1,3,0,0,1,14756,19730,2,1,14,3,3,21,2,3,5,0,0,2
35,0,0,1,0,144,1,0,0,22,3,1,0,0,0,0,4,0,46,1,1,0,0,1,0,0,3,0,1,0,4230,19225,0,0,15,3,0,6,2,3,5,4,4,3
39,0,0,1,0,1089,1,0,0,6,3,1,0,0,0,0,2,1,32,3,3,0,0,0,1,0,2,0,1,0,8376,9150,4,0,18,3,0,9,3,3,2,0,2,2
30,0,0,1,0,911,1,0,0,1,2,0,1,0,0,0,4,0,76,3,1,0,0,1,0,0,2,1,0,0,3748,4077,1,0,13,3,0,12,6,2,12,8,1,7
41,0,0,0,1,247,1,0,0,7,1,1,0,0,0,0,2,1,55,1,5,0,0,0,0,1,3,0,0,1,19973,20284,1,0,22,4,2,21,3,3,21,16,5,10
24,0,0,1,0,823,1,0,0,17,2,0,0,0,0,1,4,0,94,2,1,0,0,1,0,0,2,1,0,0,2127,9100,1,0,21,4,1,1,2,3,1,0,0,0
49,1,1,0,0,1475,1,0,0,28,2,1,0,0,0,0,1,0,97,2,2,0,0,1,0,0,1,0,1,0,4284,22710,3,0,20,4,0,20,2,3,4,3,1,3
36,0,0,1,0,1403,1,0,0,6,3,1,0,0,0,0,4,0,47,3,1,0,0,1,0,0,4,1,0,0,3210,20251,0,0,11,3,1,16,4,3,15,13,10,11
28,0,0,1,0,1300,1,0,0,17,2,0,1,0,0,0,3,0,79,3,2,0,0,1,0,0,1,0,0,1,4558,13535,1,0,12,3,1,10,2,3,10,0,1,8
34,0,0,1,0,401,1,0,0,1,3,1,0,0,0,0,4,1,86,2,1,0,0,1,0,0,2,1,0,0,3294,3708,5,0,17,3,1,7,2,2,5,4,0,2
42,0,0,1,0,622,1,0,0,2,4,1,0,0,0,0,3,1,81,3,2,0,0,0,0,1,4,1,0,0,4089,5718,1,0,13,3,2,10,4,3,10,2,2,2
27,0,0,0,1,1450,1,0,0,3,3,0,1,0,0,0,3,0,79,2,1,0,1,0,0,0,3,0,0,1,2566,25326,1,1,15,3,1,1,2,2,1,1,0,1
34,0,0,1,0,1480,0,1,0,4,3,1,0,0,0,0,3,0,64,3,3,1,0,0,0,0,4,1,0,0,9713,24444,2,1,13,3,3,9,3,3,5,3,1,0
29,0,0,1,0,1010,1,0,0,1,3,1,0,0,0,0,1,1,97,3,1,0,1,0,0,0,4,0,0,1,3760,5598,1,0,15,3,3,3,5,3,3,2,1,2
28,1,0,0,1,1366,1,0,0,24,2,0,0,0,1,0,2,0,72,2,3,0,0,0,0,1,1,0,1,0,8722,12355,1,0,12,3,0,10,2,2,10,7,1,9
32,0,0,1,0,120,1,0,0,6,5,1,0,0,0,0,3,0,43,3,1,0,1,0,0,0,3,0,1,0,3038,12430,3,0,20,4,0,8,2,3,5,4,1,4
58,1,0,1,0,286,1,0,0,2,4,1,0,0,0,0,4,0,31,3,5,0,0,0,0,1,2,0,1,0,19246,25761,7,1,12,3,0,40,2,3,31,15,13,8
50,0,0,0,1,145,0,1,0,1,3,1,0,0,0,0,4,1,95,3,2,1,0,0,0,0,3,1,0,0,6347,24920,0,0,12,3,1,19,3,3,18,7,0,13
34,0,0,1,0,735,0,1,0,3,1,0,1,0,0,0,4,1,75,2,2,1,0,0,0,0,4,1,0,0,8103,16495,3,1,12,3,0,9,3,2,4,2,0,1
29,0,0,1,0,332,0,0,1,17,3,0,0,0,0,1,2,0,51,2,3,0,0,0,0,1,1,0,1,0,7988,9769,1,0,13,3,0,10,3,2,10,9,0,9
44,0,0,1,0,200,1,0,0,29,4,0,0,0,0,1,4,0,32,3,2,0,1,0,0,0,4,0,1,0,4541,7744,1,0,25,4,0,20,3,3,20,11,13,17
50,0,1,0,0,1246,0,0,1,3,3,0,1,0,0,0,1,0,99,3,5,0,0,0,0,1,2,1,0,0,18200,7999,1,0,11,3,1,32,2,3,32,5,10,7
32,0,0,1,0,1018,1,0,0,3,2,1,0,0,0,0,3,1,39,3,3,0,0,0,0,1,4,0,1,0,11159,19373,3,0,15,3,0,10,6,3,7,7,7,7
33,0,0,1,0,575,1,0,0,25,3,1,0,0,0,0,4,0,44,2,2,0,0,0,1,0,2,0,1,0,4320,24152,1,0,13,3,0,5,2,3,5,3,0,2
44,0,0,0,1,981,1,0,0,5,3,1,0,0,0,0,3,0,90,2,1,0,0,1,0,0,3,0,1,0,3162,7973,3,0,14,3,0,7,5,3,5,2,0,3
45,0,0,1,0,549,1,0,0,8,4,0,0,0,0,1,4,0,75,3,2,0,1,0,0,0,4,1,0,0,3697,9278,9,0,14,3,2,12,3,3,10,9,9,8
38,0,0,1,0,1245,0,1,0,14,3,1,0,0,0,0,3,0,80,3,2,1,0,0,0,0,2,1,0,0,9924,12355,0,0,11,3,1,10,3,3,9,8,7,7
33,0,0,0,1,750,0,1,0,22,2,0,0,1,0,0,3,0,95,3,2,1,0,0,0,0,2,1,0,0,6146,15480,0,0,13,3,1,8,2,4,7,7,0,7
35,1,1,0,0,662,0,1,0,18,4,0,0,1,0,0,4,1,67,3,2,1,0,0,0,0,3,1,0,0,4614,23288,0,1,18,3,1,5,0,2,4,2,3,2
25,0,0,1,0,959,0,1,0,28,3,1,0,0,0,0,1,0,41,2,2,1,0,0,0,0,3,1,0,0,8639,24835,2,0,18,3,0,6,3,3,2,2,2,2
39,0,1,0,0,711,1,0,0,4,3,0,1,0,0,0,1,1,81,3,2,0,0,0,1,0,3,0,1,0,5042,3140,0,0,13,3,0,10,2,1,9,2,3,8
36,0,0,1,0,1174,0,1,0,3,4,0,0,1,0,0,1,1,99,3,2,1,0,0,0,0,2,0,1,0,9278,20763,3,1,16,3,0,15,3,3,5,4,0,1
